GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cse364,com.example,LoadDatabase,73,0,4,0,19,0,6,0,4,0
cse364,com.example,MovieController,27,301,8,14,8,71,8,14,1,10
cse364,com.example,Application,5,3,0,0,2,1,1,1,1,1
cse364,com.example,Movie,3,94,5,7,0,28,5,14,0,13
